cluster1,cluster2,cluster3,cluster4
0.866,0.0234,0.0028,0.1078
0.938,0.0235,0,0.0385
0.9147,0.0011,0.0001,0.0841
0.7449,0.1394,0.0488,0.0669
0.609,0.3704,0.012,0.0087
0.2705,0.6645,0.0372,0.0278
0.2978,0.6671,0.0343,0.0008
0.3372,0.6453,0.015,0.0024
0.4915,0.4666,0.0002,0.0417
0.3873,0.6005,0.0122,0
0.2538,0.7042,0.042,0
0.6512,0.2682,0.039,0.0416
0.8949,0.098,0.0007,0.0064
0.5368,0.4273,0.0359,0
0.3824,0.6043,0.0105,0.0028
0.7599,0.1858,0,0.0543
0.5299,0.4232,0.0324,0.0144
0.6141,0.3186,0.0501,0.0172
0.6937,0.2582,0.0214,0.0268
0.4025,0.5584,0,0.0391
0.8319,0.1482,0.009,0.0109
0.4885,0.468,0.0423,0.0011
0.5973,0.2737,0.1104,0.0186
0.6693,0.278,0.027,0.0257
0.2697,0.6641,0.0453,0.021
0.7491,0.1998,0.0312,0.0199
0.7272,0.2029,0.0304,0.0395
0.7173,0.2033,0.067,0.0123
0.7197,0.2366,0.0111,0.0327
0.7614,0.1722,0.0431,0.0233
0.7763,0.1539,0.0405,0.0293
0.7435,0.1555,0.044,0.0569
0.7198,0.2122,0.0495,0.0185
0.6742,0.2867,0.0108,0.0283
0.6986,0.2156,0.0326,0.0531
0.7488,0.2149,0.0329,0.0033
0.8426,0.0431,0.0738,0.0405
0.7394,0.1785,0.0259,0.0561
0.6692,0.2566,0.0304,0.0438
0.8188,0.1084,0.0507,0.022
0.8245,0.0886,0.0315,0.0554
0.829,0.1259,0.0002,0.0449
0.7884,0.1938,0.0174,0.0005
0.5947,0.3626,0.0422,0.0005
0.707,0.2011,0.0572,0.0347
0.7348,0.2015,0.0037,0.06
0.7152,0.2039,0.0386,0.0423
0.8575,0.0899,0.0504,0.0022
0.8202,0.0978,0.0185,0.0635
0.6884,0.1741,0.0675,0.0701
0.7132,0.2109,0.043,0.0329
0.4502,0.4562,0.0691,0.0244
0.4309,0.4944,0.0649,0.0098
0.675,0.225,0.0579,0.0421
0.6951,0.1997,0.087,0.0182
0.7035,0.2129,0.0272,0.0564
0.7076,0.1974,0.0481,0.0469
0.7745,0.1715,0.0484,0.0056
0.5845,0.3093,0.0481,0.0581
0.7047,0.2523,0.0417,0.0012
0.7544,0.1616,0.0447,0.0393
0.5012,0.4663,0.0004,0.0321
0.822,0.0993,0.0361,0.0426
0.4726,0.4802,0.0469,0.0003
0.7788,0.1581,0.0615,0.0016
0.7139,0.1899,0.0022,0.0939
0.7872,0.1438,0.0673,0.0017
0.8312,0.1487,0.0193,0.0008
0.783,0.1256,0.0879,0.0035
0.7549,0.1939,0.0389,0.0123
0.893,0.0643,0,0.0427
0.7378,0.1835,0.0602,0.0185
0.4572,0.5077,0.0007,0.0344
0.6708,0.1927,0.0481,0.0884
0.7773,0.1808,0.0178,0.0241
0.7437,0.1743,0.042,0.0399
0.4422,0.5378,0.0186,0.0014
0.688,0.2013,0.0271,0.0835
0.7344,0.2242,0.0402,0.0013
0.6983,0.2495,0,0.0522
0.7824,0.1433,0.0108,0.0635
0.7928,0.1488,0.0008,0.0576
0.7404,0.2007,0.0555,0.0034
0.8049,0.1563,0.022,0.0168
0.7682,0.1148,0.0173,0.0998
0.7099,0.1589,0.0822,0.049
0.5177,0.4462,0.0319,0.0042
0.7988,0.1084,0.024,0.0688
0.6899,0.2706,0.0001,0.0394
0.7571,0.1836,0.0589,0.0004
0.7831,0.1644,0.0525,0
0.6999,0.167,0.0391,0.094
0.7836,0.1198,0.0716,0.025
0.8343,0.0819,0.0588,0.025
0.7664,0.1358,0.0518,0.046
0.67,0.2702,0.0542,0.0056
0.7967,0.1374,0.034,0.0319
0.653,0.2863,0.0214,0.0393
0.7356,0.192,0.0497,0.0228
0.718,0.1994,0.0039,0.0786
0.5649,0.37,0.0576,0.0075
0.7849,0.1904,0.0022,0.0225
0.8266,0.0713,0.0563,0.0459
0.8693,0.0831,0.0295,0.0181
0.8229,0.1119,0.0066,0.0585
0.7606,0.2129,0.0241,0.0024
0.6812,0.2971,0,0.0218
0.5374,0.4248,0.0311,0.0066
0.4465,0.5019,0.0014,0.0503
0.5295,0.3998,0.0253,0.0453
0.37,0.627,0,0.003
0.7722,0.1469,0.0628,0.0181
0.7079,0.2168,0.0748,0.0005
0.8075,0.157,0.035,0.0005
0.5625,0.3619,0.0344,0.0412
0.7608,0.1164,0.1117,0.0111
0.7567,0.2154,0.0245,0.0035
0.7916,0.1073,0.0551,0.0461
0.5333,0.4235,0.0432,0
0.8222,0.1296,0.0124,0.0358
0.7928,0.1373,0.0318,0.0382
0.6262,0.3036,0.0307,0.0396
0.4821,0.4834,0.0308,0.0038
0.6904,0.1779,0.0625,0.0692
0.6964,0.1496,0.1414,0.0126
0.6999,0.2146,0.0515,0.034
0.4685,0.5125,0.017,0.0021
0.7046,0.2349,0.0604,0.0001
0.6932,0.1982,0.0847,0.0239
0.7283,0.1889,0.071,0.0118
0.7358,0.1942,0.0012,0.0688
0.5875,0.3742,0.023,0.0153
0.6187,0.2987,0.0028,0.0798
0.7595,0.1356,0.0597,0.0453
0.2736,0.6472,0.0791,0
0.7336,0.1796,0.023,0.0638
0.711,0.2199,0.0167,0.0523
0.6922,0.2633,0.0378,0.0067
0.8169,0.0841,0.0416,0.0574
0.827,0.1363,0.0291,0.0076
0.4284,0.4653,0.0267,0.0795
0.6357,0.3375,0.024,0.0029
0.5406,0.4485,0,0.0109
0.8138,0.148,0.0249,0.0133
0.2411,0.6946,0.0534,0.0109
0.7469,0.1824,0.0198,0.0509
0.4722,0.4897,0,0.038
0.771,0.1476,0.0807,0.0008
0.8296,0.1341,0,0.0364
0.7212,0.2037,0.0266,0.0486
0.5179,0.4736,0.0061,0.0024
0.6289,0.3331,0.0107,0.0273
0.3721,0.5902,0.0244,0.0133
0.6298,0.2722,0.0425,0.0555
0.7178,0.1746,0.0575,0.0501
0.5858,0.3352,0.0239,0.0551
0.5715,0.4017,0.0008,0.0261
0.6935,0.2689,0.0361,0.0014
0.8266,0.1279,0.0023,0.0433
0.6917,0.195,0.0883,0.0251
0.3545,0.5396,0.1013,0.0046
0.0001,0.9999,0,0
0,0.9926,0,0.0074
0.0144,0.9486,0.0361,0.001
0.0258,0.9742,0,0
0.0364,0.9636,0,0
0.0445,0.932,0.0191,0.0044
0.0442,0.9463,0,0.0095
0.059,0.9138,0,0.0272
0,0.9135,0.0618,0.0247
0.0179,0.9577,0.023,0.0013
0.0524,0.9208,0.0016,0.0252
0.0108,0.9579,0.0305,0.0007
0.0277,0.9238,0.0485,0
0.0471,0.9429,0.0048,0.0052
0.0164,0.9799,0.0002,0.0035
0,0.979,0.0157,0.0052
0.061,0.9238,0.0001,0.0151
0.0291,0.965,0.0059,0
0.0093,0.9811,0.0002,0.0094
0.0473,0.9512,0,0.0014
0,0.9431,0.0524,0.0045
0.0499,0.9477,0,0.0025
0.358,0,0.6419,0.0002
0.3326,0,0.6623,0.0051
0.3491,0,0.6494,0.0016
0.8584,0.0115,0.0116,0.1186
0.3229,0,0.6699,0.0072
0.4257,0,0.5725,0.0018
0.4223,0,0.5777,0
0.7119,0.0095,0.2555,0.0232
0.3202,0,0.6762,0.0036
0.4301,0.1651,0.4006,0.0042
0.3383,0,0.661,0.0007
0.3667,0,0.6294,0.0039
0.329,0,0.6679,0.0031
0.401,0,0.5967,0.0023
0.0034,0,0.7859,0.2107
0.6184,0,0.3501,0.0315
0.877,0.0346,0.0445,0.0439
0,0,0.8847,0.1153
0,0,0.8663,0.1337
0,0,0.8362,0.1638
0.3644,0,0.6334,0.0021
0.0345,0,0.8645,0.101
0,0,0.8164,0.1836
0,0,0.8885,0.1115
0,0,0.8506,0.1494
0.3932,0,0.602,0.0047
0,0,0.8404,0.1596
0.0599,0,0.0574,0.8828
0.9423,0.0132,0,0.0445
0.3875,0,0.6014,0.0111
0,0,0.8157,0.1843
0.3371,0,0.6629,0
0,0,0.8863,0.1137
0.8327,0.0107,0.034,0.1227
0.9436,0,0.0097,0.0467
0.3772,0,0.611,0.0118
0.037,0.0024,0.0606,0.9
0.9268,0,0.0014,0.0718
0.3354,0,0.6644,0.0002
0.8958,0,0.0724,0.0319
0.9398,0,0,0.0602
0,0,0.846,0.154
0.8898,0.0179,0.043,0.0493
0.2858,0,0.6637,0.0506
0,0,0.8702,0.1298
0.8922,0,0.0045,0.1033
0.4308,0,0.5669,0.0024
0.8431,0.0356,0.0205,0.1008
0,0.2007,0.6653,0.134
0.8341,0.0218,0.0669,0.0772
0,0,0.9109,0.0891
0.6477,0.0334,0.3175,0.0015
0.9695,0.0014,0,0.0291
0.9244,0,0.0061,0.0695
0.9095,0.0004,0.0018,0.0883
0.8611,0.0001,0.0989,0.0399
0.8652,0.0199,0.0257,0.0892
0.896,0,0.0236,0.0804
0.9041,0.0027,0.0025,0.0907
0.8485,0,0.0402,0.1113
0.8987,0,0.0596,0.0417
0.3156,0,0.6844,0
0.9011,0.0002,0.001,0.0977
0.9115,0,0.0288,0.0596
0.9072,0.0017,0.017,0.074
0.9047,0,0.0145,0.0808
